,tweets,sentiment,tidy_tweets,absolute_tidy_tweets,key_phrases
513,mine and erin’s profiles on disney plus lmao i love her so much https://t.co/IqzUVwwEuC,pos,mine and erin’s profiles on disney plus lmao i love her so much,mine erin profile disney plus lmao love much,['erin ’']
514,@Squidweirdd11 thank you for the fast transaction for my 12 mo. disney plus and 12 mo. Viu premium na b1t1 pa. Super accomodating! ♥️♥️♥️,pos,@Squidweirdd11 thank you for the fast transaction for my 12 mo. disney plus and 12 mo. Viu premium na b1t1 pa. Super accomodating! ♥️♥️♥️,Squidweirdd thank fast transaction mo disney plus mo Viu premium na bt pa Super accomodating,"['squidweirdd11', 'viu premium', 'b1t1 pa', 'super accomodating']"
515,"STEAL!!  
   
Get 6 Months of Disney+ For $7.99!!! (retail $48!!)          
 
Step 1: Signup for 1 Month of Amazon… https://t.co/xpnB3xeJwG",pos,STEAL!! Get 6 Months of Disney+ For $7.99!!! (retail $48!!) Step 1: Signup for 1 Month of Amazon…,STEAL Get Months Disney For retail Step Signup Month Amazon,"['disney', 'signup', '1 month', 'amazon…']"
516,"@TonyFratto Netflix, Amazon, HBO max, Disney plus",pos,"@TonyFratto Netflix, Amazon, HBO max, Disney plus",TonyFratto Netflix Amazon HBO max Disney plus,"['tonyfratto netflix', 'amazon', 'hbo max', 'disney']"
517,disney plus....... QUE RAIVA https://t.co/FrKrz7TiGy,pos,disney plus....... QUEAIVA,disney plus QUEAIVA,[]
518,"@Suzana_bispoo 😂😂😂😂😂
Eu ia pro cinema do shopping recife amanhã assistir esse filme com uns amgs (obs: eu n fiz car… https://t.co/Jl03UscVtv",pos,@Suzana_bispoo 😂😂😂😂😂 Eu ia pro cinema do shopping recife amanhã assistir esse filme com uns amgs (obs: eu n fiz car…,Suzanabispoo Eu ia pro cinema shopping recife amanh assistir esse filme com un amgs ob eu n fiz car,"['suzana_bispoo 😂😂😂😂😂 eu ia pro cinema', 'shopping recife amanhã assistir esse filme com uns amgs', 'eu n fiz car…']"
519,Petty is logging out Netflix and Disney plus so he can't use it. Hope you enjoy Hulu pendejo.,pos,Petty is logging out Netflix and Disney plus so he can't use it. Hope you enjoy Hulu pendejo.,Petty logging Netflix Disney plus cant use Hope enjoy Hulu pendejo,"['petty', 'netflix', 'disney', ""' t use"", 'hope', 'hulu pendejo']"
520,"RT @stuffjunkshow: Let's talk... another #wedding plot twist in #India, #StarWars fans vs #Disney again, #JamesCorden #spillyourguts compla…",pos,"Let's talk... another #wedding plot twist in #India, #StarWars fans vs #Disney again, #JamesCorden #spillyourguts compla…",Lets talk another plot twist fan v compla,"['plot twist', 'fans vs']"
521,"RT @ProjetoPremium: ✨ SORTEIO PREMIUM ✨

- disney plus 6 meses 
- prime video 
- hbo max 
- globoplay

🧾| regras: 
curtir, retweetar e come…",pos,"✨ SOEIO PEMIUM ✨ - disney plus 6 meses - prime video - hbo max - globoplay 🧾| regras: curtir, retweetar e come…",SOEIO PEMIUM disney plus me prime video hbo max globoplay regras curtir retweetar e come,"['✨ soeio pemium ✨', 'prime video', 'hbo max', 'globoplay 🧾 | regras', 'retweetar e come…']"
522,"@maroonny lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva, yout… https://t.co/1uMCPaesqS",pos,"@maroonny lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva, yout…",maroonny lagi nyari app premium bulgegi punya nih netflix spotify indplan disney plus viu wetv canva yout,"['maroonny lagi nyari app premium', 'bulgegi punya nih']"
523,"@bucinayutaa lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva, y… https://t.co/nPRTOQSnJA",pos,"@bucinayutaa lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva, y…",bucinayutaa lagi nyari app premium bulgegi punya nih netflix spotify indplan disney plus viu wetv canva,"['bucinayutaa lagi nyari app premium', 'bulgegi punya nih']"
524,.@georgesright and i watched the first three marvel movies at their house last night. i am now buying disney plus t… https://t.co/zcA2nQ85Ad,pos,.@georgesright and i watched the first three marvel movies at their house last night. i am now buying disney plus t…,georgesright watched first three marvel movie house last night buying disney plus,['house last night']
525,querem uma disney plus agora?,pos,querem uma disney plus agora?,querem uma disney plus agora,['querem uma disney']
526,"RT @FueDuck63: I’m Watching Loki on Disney Plus
#Loki #TvShow #DisneyPlus #Gamer #Gaming https://t.co/JMvBtHmPYK",pos,I’m Watching Loki on Disney Plus #Loki #TvShow #DisneyPlus #Gamer #Gaming,Im Watching Loki Disney Plus,"['’ m', 'loki', 'disney plus']"
527,@polypearIs Is it on Disney plus?,pos,@polypearIs Is it on Disney plus?,polypearIs Is Disney plus,['disney']
528,Mañana se estrena Cruela en Disney Plus 😍,pos,Mañana se estrena Cruela en Disney Plus 😍,Maana se estrena Cruela en Disney Plus,"['mañana se estrena cruela', 'disney plus 😍']"
529,"I’m Watching Loki on Disney Plus
#Loki #TvShow #DisneyPlus #Gamer #Gaming https://t.co/JMvBtHmPYK",pos,I’m Watching Loki on Disney Plus #Loki #TvShow #DisneyPlus #Gamer #Gaming,Im Watching Loki Disney Plus,"['’ m', 'loki', 'disney plus']"
530,amanhã/hoje vai ter mais hbo max e disney plus 6 meses!,pos,amanhã/hoje vai ter mais hbo max e disney plus 6 meses!,amanhhoje vai ter mais hbo max e disney plus me,['amanhã/hoje vai ter mais hbo max e disney']
531,"My daughter's mother gave me her Disney plus account info. I created my own profile, I know her nigga mad",neg,"My daughter's mother gave me her Disney plus account info. I created my own profile, I know her nigga mad",My daughter mother gave Disney plus account info I created profile I know nigga mad,"['disney', 'account info', 'own profile']"
532,Disney plus got everything,pos,Disney plus got everything,Disney plus got everything,['disney']
533,"lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva, youtube premiu… https://t.co/hnUOVB69iV",pos,"lagi nyari app premium? @bulgegi punya nih, netflix, spotify indplan, disney plus, viu, wetv, canva, youtube premiu…",lagi nyari app premium bulgegi punya nih netflix spotify indplan disney plus viu wetv canva youtube premiu,"['lagi nyari app premium', 'bulgegi punya nih', 'youtube premiu…']"
534,🎱 Zenimation de Disney+ convierte escenas clásicas animadas en relajantes experiencias auditivas... https://t.co/fZBvAfyyfq,pos,🎱 Zenimation de Disney+ convierte escenas clásicas animadas en relajantes experiencias auditivas...,Zenimation de Disney convierte escenas clsicas animadas en relajantes experiencias auditivas,['🎱 zenimation de disney']
535,🕯🤎: I didn't want to do shipping on this account but I'm too much of a lesbian to resist talking about a pretty gir… https://t.co/E67OfIKoUZ,pos,🕯🤎: I didn't want to do shipping on this account but I'm too much of a lesbian to resist talking about a pretty gir…,I didnt want shipping account Im much lesbian resist talking pretty gir,[]
536,"Premium Accounts Available

HBO Max Disney Plus Wattpad Iwant TFC
Microsoft 365 Skillshare VPN Shaw Academy
Bartleb… https://t.co/8tbkJUgjw4",pos,Premium Accounts Available HBO Max Disney Plus Wattpad Iwant TFC Microsoft 365 Skillshare VPN Shaw Academy Bartleb…,Premium Accounts Available HBO Max Disney Plus Wattpad Iwant TFC Microsoft Skillshare VPN Shaw Academy Bartleb,['premium accounts available hbo max disney plus wattpad iwant tfc microsoft 365 skillshare vpn shaw academy bartleb…']
537,Pensei que Cruella iria entrar pro Disney plus agora meia noite e fui otaria porque não entrou não,pos,Pensei que Cruella iria entrar pro Disney plus agora meia noite e fui otaria porque não entrou não,Pensei que Cruella iria entrar pro Disney plus agora meia noite e fui otaria porque entrou,"['pensei que cruella iria entrar pro disney', 'agora meia noite e fui otaria porque não entrou não']"
538,RT @ThePost: TV Review: The finale of Loki is by far the best finale of a Disney+ Marvel series. The consistency of this series has been st…,pos,TVeview: The finale of Loki is by far the best finale of a Disney+ Marvel series. The consistency of this series has been st…,TVeview The finale Loki far best finale Disney Marvel series The consistency series st,"['loki', 'disney', 'marvel series']"
539,"RT @contasdisney9: 🚨 CONTAS DISNEY PLUS GRÁTIS 🚨

se pegar alguma das contas, poste um print e dê RT nesse post.

✉ email: vitaliano9744@uo…",pos,"🚨 CONTAS DISNEY PLUS GÁTIS 🚨 se pegar alguma das contas, poste um print e dê nesse post. ✉ email: vitaliano9744@uo…",CONTAS DISNEY PLUS GTIS se pegar alguma da contas poste um print e nesse post email vitalianouo,"['🚨 contas disney plus gátis 🚨 se pegar alguma das contas', 'poste um print e dê nesse post', '✉ email']"
540,"RT @InsideTheMagic: Here's What's Coming to Disney+ in August!  https://t.co/rmoUw4OVHO

#DisneyPlus #Cruella #WhatIf https://t.co/HpvmANb5…",pos,Here's What's Coming to Disney+ in August! #DisneyPlus #Cruella #WhatIf,Heres Whats Coming Disney August,"['disney', 'august']"
541,"@SaiSpideyy @LetsOTT Except a few like Netflix's daredevil, punisher, in these two you'll find a lot of raw action… https://t.co/LlgiENPpC4",neg,"@SaiSpideyy @LetsOTT Except a few like Netflix's daredevil, punisher, in these two you'll find a lot of raw action…",SaiSpideyy LetsOTT Except like Netflixs daredevil punisher two youll find lot raw action,"['netflix', 'raw action…']"
542,"@beyviadinho oii, tô dando um combo (disney plus e hbo max) pra quem usar meu código do kwai. se quiser me chama na dm",pos,"@beyviadinho oii, tô dando um combo (disney plus e hbo max) pra quem usar meu código do kwai. se quiser me chama na dm",beyviadinho oii dando um combo disney plus e hbo max pra quem usar meu cdigo kwai se quiser chama na dm,"['beyviadinho oii', 'tô dando um combo', 'e hbo max', 'pra quem usar meu código']"
543,"RT @premiumsherePH: 💌 mars dis is a sign! bumili kana
unlock documents scribd, bartleby, quizlet, course hero, chegg
Netflix, spotify, gram…",pos,"💌 mars dis is a sign! bumili kana unlock documents scribd, bartleby, quizlet, course hero, chegg Netflix, spotify, gram…",mar dis sign bumili kana unlock document scribd bartleby quizlet course hero chegg Netflix spotify gram,"['bumili kana', 'course hero', 'chegg netflix']"
544,"@Myeonienesia 👻 JUAL APLIKASI PREMIUM 👻

✓ Aman &amp; Trusted
✓ 100% LEGAL
✓ Bergaransi
✓ Pengerjaan cepat… https://t.co/8znlZHOycO",pos,@Myeonienesia 👻 JUAL APLIKASI PEMIUM 👻 ✓ Aman &amp; Trusted ✓ 100% LEGAL ✓ Bergaransi ✓ Pengerjaan cepat…,Myeonienesia JUAL APLIKASI PEMIUM Aman amp Trusted LEGAL Bergaransi Pengerjaan cepat,"['myeonienesia 👻 jual aplikasi pemium 👻 ✓ aman', 'trusted ✓ 100% legal ✓ bergaransi ✓ pengerjaan cepat…']"
545,"483 - 486 (June 13, 2021 ☁️)

🍓 2 ch 30 unlcks acc.
🍓 hbo go
🍓 ch unlock

📝 tags : course hero accounts, scribd, ba… https://t.co/zkwAt5UEaw",pos,"483 - 486 (June 13, 2021 ☁️) 🍓 2 ch 30 unlcks acc. 🍓 hbo go 🍓 ch unlock 📝 tags : course hero accounts, scribd, ba…",June ch unlcks acc hbo go ch unlock tag course hero account scribd ba,"['june 13', '🍓 hbo', '🍓 ch', 'course hero accounts']"
